summary_length,subject_length,word_count,recipient_count,year,month,day,hour,minute,classification,tone_analysis,people_count,organizations_count,locations_count,projects_count,tfidf_0,tfidf_1,tfidf_2,tfidf_3,tfidf_4,tfidf_5,tfidf_6,tfidf_7,tfidf_8,tfidf_9,tfidf_10,tfidf_11,tfidf_12,tfidf_13,tfidf_14,tfidf_15,tfidf_16,tfidf_17,tfidf_18,tfidf_19,tfidf_20,tfidf_21,tfidf_22,tfidf_23,tfidf_24,tfidf_25,tfidf_26,tfidf_27,tfidf_28,tfidf_29,tfidf_30,tfidf_31,tfidf_32,tfidf_33,tfidf_34,tfidf_35,tfidf_36,tfidf_37,tfidf_38,tfidf_39,tfidf_40,tfidf_41,tfidf_42,tfidf_43,tfidf_44,tfidf_45,tfidf_46,tfidf_47,tfidf_48,tfidf_49,classification_encoded,tone_analysis_encoded,som_x,som_y
610,42,95,1,2001,11,9,15,48,Business Project Coordination,Collaborative/Professional,4,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.204121978320516,0.1775582684516964,0.0,0.0,0.0,0.0,0.0,0.1991184191916499,0.0,0.0,0.5769000766704202,0.10195551939738247,0.1491486375483217,0.5308012578650054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4366383501827666,0.0,0.0,0.0,0.0,0.0,0.0,0.2220409145354182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,4,7
533,14,82,4,2001,6,1,5,22,Business Project Coordination,Concerned/Critical,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15300627606238248,0.2238297420868479,0.0,0.0,0.0,0.0,0.29802118286432977,0.0,0.0,0.31168458841250346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8152621720261581,0.0,0.0,0.0,0.0,0.0,0.27545055602834095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,6,3,2
564,67,86,25,2002,3,22,15,42,Regulatory Alert / Crisis Communication,Concerned/Critical,1,1,1,0,0.0,0.0,0.4456576897518428,0.0,0.5895320682583557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15070612686253393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5526188943774335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16257517276403413,0.22207692993371256,0.0,0.0,0.0,0.0,0.22358965842630993,0.0,0.0,0.0,0.0,0.0,0.0,24,6,0,2
210,82,33,36,2001,6,8,15,9,Business Project Coordination,Collaborative/Professional,0,1,1,0,0.0,0.0,0.0,0.0,0.5548884691164677,0.0,0.0,0.5066079958441616,0.0,0.0,0.0,0.0,0.0,0.0,0.3026151770108565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46501688753160536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.261846210349146,0.0,0.24303710923898436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,7,3
244,0,39,5,2001,11,13,16,27,Business Project Coordination,Collaborative/Professional,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4448755011679488,0.0,0.0,0.0,0.4740908835195292,0.28896556212350977,0.2042754727598367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36774826499083074,0.0,0.0,0.0,0.0,0.36281314705887235,0.4303741298882854,0.0,0.0,0.0,3,1,9,5
1070,13,158,5,2000,6,15,10,41,Business Project Coordination,Collaborative/Professional,0,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2340340484164983,0.0,0.0,0.0,0.23966705902792604,0.0,0.3119389150110487,0.0,0.0,0.2815933332686914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45951947639262813,0.0,0.0,0.0,0.2591954660133095,0.6301466073789143,0.18910813674159827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,4,7
487,0,67,1,2002,2,5,15,45,Internal Communication,Neutral/Informational,0,15,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.15190210730830653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15174513176486018,0.8879393598734588,0.0,0.0,0.15104898547282183,0.0,0.0,0.1212862632954318,0.0,0.15455777421328837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23946752836248003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15455777421328837,0.15104898547282183,14,9,0,3
1002,19,144,1,2001,4,25,4,34,Business Project Coordination,Concerned/Critical,0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.20047248697738015,0.35005840151282364,0.1522515217150883,0.1755274284928745,0.0,0.0,0.0,0.0,0.17073878106486964,0.0,0.0,0.0,0.08742416284447257,0.76734608508446,0.0,0.0,0.1740461911348951,0.0,0.0,0.0,0.0,0.0,0.0,0.1721317646026241,0.31263931701036946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,6,0,4
712,31,118,214,2000,4,14,9,31,Business Project Coordination,Collaborative/Professional,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1408564145139785,0.0,0.0,0.0,0.0,0.13701364354153342,0.0,0.6512811257360693,0.0,0.14031145133147646,0.0,0.0,0.0,0.0,0.0,0.0,0.22429519064801345,0.0,0.14291216701457993,0.0,0.2762629566680406,0.0,0.1441936092549075,0.0,0.0,0.0,0.12460340573001907,0.0,0.0,0.0,0.0,0.3055732848753719,0.12629830710552387,0.0,0.11722596794421816,0.0,0.0,0.0,0.29561267422027704,0.3517186395494384,0.0,0.0,3,1,9,7
312,34,47,2,2001,10,29,11,13,Business Project Coordination,Collaborative/Professional,2,1,0,0,0.0,0.0,0.0,0.3125991176206655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7485080389344716,0.0,0.0,0.0,0.0,0.46825115676203855,0.0,0.0,0.0,0.3503688934598302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,9,4
458,50,66,1,2001,1,5,22,37,Internal Communication,Neutral/Informational,2,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262201215606259,0.38356877883936585,0.0,0.0,0.0,0.0,0.0,0.0,0.5310056832174038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46569491144250863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5341223907323582,0.0,14,9,1,3
325,67,51,71,2000,12,14,9,15,Business Project Coordination,Collaborative/Professional,1,1,0,0,0.0,0.0,0.0,0.2281909135520357,0.0,0.0,0.0,0.0,0.0,0.0,0.30727142880178643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1920909042582189,0.0,0.0,0.0,0.0,0.0,0.2099061178577793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23321959862876557,0.0,0.0,0.6216577772182764,0.0,0.0,0.0,0.0,0.0,0.0,0.5759374176427515,0.0,0.0,0.0,0.0,0.0,3,1,3,0
434,13,66,2,2000,11,16,8,2,Business Project Coordination,Neutral/Informational,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188129299989695,0.13299232411281672,0.0,0.0,0.0,0.5295288329655806,0.0,0.0,0.4251903662679153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2838410714133847,0.23620732824235302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23620732824235302,0.0,0.0,0.5418295101336263,0.0,3,9,2,6
675,47,102,0,2001,5,11,15,21,Market/Trading Information,Concerned/Critical,3,3,2,0,0.17695167346011068,0.14155009609546995,0.0,0.0,0.0,0.0,0.0,0.1400249191506825,0.1614316474907602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11762068923205173,0.5232465648160431,0.0,0.32013872265596865,0.5668138364950966,0.0,0.1285292624957796,0.0,0.0,0.0,0.0,0.14376636303715576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17332302345721726,0.0,0.0,0.0,0.0,0.0,0.35265676050233913,0.0,0.0,0.0,0.0,0.0,22,6,0,7
200,36,33,0,2001,11,2,7,57,Internal Communication,Collaborative/Professional,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3897112403396804,0.3770080292768389,0.34947922224161254,0.0,0.0,0.5062680562762318,0.17894545249448765,0.0,0.23290664359004576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3897112403396804,0.0,0.0,0.2990070115991535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1,6,7
421,68,67,2,2000,5,10,10,8,Business Project Coordination,Collaborative/Professional,1,3,0,1,0.0,0.0,0.0,0.26918128495233923,0.0,0.0,0.0,0.5395167371913974,0.31099848606205127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6573488165985458,0.0,0.0,0.20160717185801189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25882455324171566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,4,7
337,28,54,42,2001,3,19,5,34,Internal Communication,Collaborative/Professional,1,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.410378462819937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9119153015787955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1,3,0
601,18,103,0,2001,10,25,10,3,Legal/Compliance Matter,Concerned/Critical,0,1,0,1,0.0,0.35540808924436595,0.0,0.17541325607179162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80678750590185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35855774043254546,0.0,0.17693115464642586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17927887021627273,0.0,0.0,0.0,0.0,20,6,3,0
429,35,76,2,2002,1,31,8,13,Internal Communication,Collaborative/Professional,1,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3115195252197208,0.11010965774007891,0.0,0.4299400256379325,0.0,0.0,0.0,0.21446839495071265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7822619310389947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2192090368760027,14,1,4,2
663,36,95,1,2001,11,8,15,35,Regulatory Alert / Crisis Communication,Concerned/Critical,0,2,1,0,0.2032288737613344,0.1625701868073931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09234340984128843,0.0,0.3605689892196118,0.0,0.7353582001294966,0.0,0.0,0.0,0.0,0.18811004639609907,0.34615305343018304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15430024419519725,0.2004173244419318,0.0,0.0,0.0,0.0,0.0,0.18383955003237415,24,6,1,7
971,49,145,49,2001,11,14,9,44,Business Project Coordination,Collaborative/Professional,0,1,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22546199718480442,0.0,0.2869652342390355,0.0,0.0,0.0,0.0,0.0,0.0,0.18313571735686895,0.2589245235132648,0.37877537320302523,0.5055052325217714,0.0,0.2577366808136989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23148630640144735,0.0,0.2482211405117682,0.0,0.0,0.2299375934794965,0.28002205562373456,0.0,0.0,0.0,0.0,0.23306528923697103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,1,6
402,21,64,1,2001,4,17,9,3,Internal Communication,Collaborative/Professional,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18868377433017197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36176798570337815,0.0,0.0,0.3351207711762806,0.0,0.0,0.0,0.0,0.0,0.0,0.7803271719458904,0.0,0.0,0.0,0.3351207711762806,0.0,0.0,0.0,0.0,14,1,5,0
359,73,55,1,2000,8,28,9,6,Business Project Coordination,Collaborative/Professional,0,3,1,1,0.0,0.0,0.0,0.0,0.39686933067846397,0.0,0.0,0.0,0.0,0.4611793089817373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6087265774068072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37201961104468945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.347651754332849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,1,2
157,30,24,20,2001,11,29,14,5,Internal Communication,Neutral/Informational,2,3,3,3,0.0,0.727804780867968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20670449017741888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3261983616114634,0.0,0.0,0.37212111959192407,0.4274271352194106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,9,6,0
217,47,34,24,2001,11,28,15,55,Business Project Coordination,Neutral/Informational,0,0,0,0,0.0,0.280713347664068,0.0,0.27709466287758455,0.0,0.0,0.0,0.0,0.0,0.0,0.3731229769424146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6874468825385746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34606479317529965,0.0,0.0,0.33593712348913246,0.0,0.0,0.0,3,9,9,0
238,51,43,3,2002,2,20,15,58,Business Project Coordination,Collaborative/Professional,0,1,1,0,0.0,0.0,0.5043456537363316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6596887726367608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3727400661082832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4141388993222793,0.0,0.0,0.0,0.0,3,1,7,0
582,38,85,132,2000,12,21,9,50,Business Project Coordination,Collaborative/Professional,0,2,2,2,0.0,0.0,0.0,0.21234713657582932,0.0,0.2802009540839976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2386420704149458,0.0,0.0,0.0,0.12219299619792703,0.0,0.0,0.0,0.0,0.2871377755543243,0.0,0.39066378571365645,0.24746328990289015,0.0,0.0,0.0,0.0,0.2511477000665543,0.0,0.0,0.0,0.0,0.264298904668362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61260223563183,0.0,0.0,3,1,9,7
795,42,132,1,2001,11,9,15,48,Business Project Coordination,Collaborative/Professional,4,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12741557911589574,0.0,0.0,0.0,0.3186725344829541,0.0,0.0,0.0,0.0,0.6209741005186962,0.07316314616806184,0.10702886547204711,0.5713534232120077,0.0,0.0,0.0,0.0,0.11695511422945828,0.0,0.0,0.0,0.0,0.13082010341354317,0.0,0.0,0.31333110385609275,0.15614965701855435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,4,7
159,19,28,1,2000,11,28,6,56,Internal Communication,Collaborative/Professional,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34113079621073883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6058815385899389,0.718705322835803,0.0,0.0,0.0,14,1,9,4
776,22,118,8,2002,1,9,13,46,Market/Trading Information,Concerned/Critical,0,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20753737456761895,0.0,0.0,0.0,0.0,0.20187544854573541,0.0,0.0,0.14622198465705036,0.10336721380983692,0.15121377634116637,0.40361312048058945,0.0,0.0,0.0,0.0,0.0,0.0,0.21056631349246496,0.0,0.203522462626234,0.0,0.0,0.0,0.22134206155628305,0.0,0.18359024526231743,0.0,0.0,0.0,0.0,0.22511533287234223,0.0,0.0,0.17272035286597845,0.2243428140935062,0.0,0.0,0.0,0.0,0.6316989404773949,0.0,22,6,3,7
492,30,68,20,2000,12,1,9,31,Internal Communication,Collaborative/Professional,1,2,1,0,0.0,0.0,0.0,0.0,0.3431041356903708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5262603836277081,0.0,0.0,0.0,0.0,0.0,0.0,0.36427268064421037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5677066657361709,0.3877423326271998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1,0,2
172,34,28,4,1999,12,7,1,59,Business Project Coordination,Neutral/Informational,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5352594195180889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8446877256224092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,9,9,2
549,119,86,11,2000,8,16,2,9,Internal Communication,Collaborative/Professional,2,2,2,0,0.0,0.0,0.0,0.0,0.21019450614085788,0.0,0.22061577761367215,0.0,0.22124376939466298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11019389670298246,0.32240078137078826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7881332456158557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34779185041644045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1,0,2
145,28,21,21,2001,11,30,12,29,Internal Communication,Neutral/Informational,0,0,0,0,0.0,0.400910967798082,0.0,0.39574281162746255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22772616883997004,0.0,0.0,0.49090112258953406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40996553503203315,0.47089612750170223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,9,9,0
998,19,164,1,2001,1,4,5,58,Business Project Coordination,Concerned/Critical,0,2,4,0,0.0,0.6864365179786427,0.0,0.0,0.18593845173505097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14259816592466715,0.0,0.21012923337625058,0.0,0.0,0.0,0.15582324180560805,0.0,0.1985690116077713,0.0,0.19192649371770015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30765731883194614,0.0,0.21228908083540643,0.0,0.0,0.3257587520462539,0.0,0.2137727961674985,0.0,0.0,0.0,0.0,0.19406107458757701,3,6,1,1
